TIC_ID_norm,toi,Tmag,Teff_K,Rstar_Rsun,P_d,P_err_d,T0_btjd,T0_err_d,drift_1yr_hr,drift_2yr_hr,needs_update
75878355,2134.02,7.7945,4406.0,0.769698,9.2292078,5.6e-06,2460496.590963,0.000441,0.01184534405582355,0.015006183232365824,False
306996324,776.01,9.73597,3747.0,0.533024,15.6653322,3.84e-05,2458572.599749,0.001757,0.04732724556323255,0.0602084048817942,False
318753380,2443.01,8.2969,4214.44,0.732115,15.6692322,0.0021405,2459148.098617,0.001469,1.1980008545078493,2.3952234202675435,False
264678534,1611.01,7.5825,5071.0,0.780338,16.2016817,1.28e-05,2460643.486453,0.000798,0.020365699101451407,0.02363576712449661,False
354518617,2540.01,8.2731,4023.0,0.661076,12.7187255,4.08e-05,2458480.943804,0.001658,0.04872522513273447,0.06889397988897604,False
154923406,4590.01,9.6446,5011.0,0.786678,25.9213509,9.16e-05,2458703.264605,0.002388,0.06514782932279004,0.08439764587881302,False
117938087,2482.01,9.6254,,,14.9315582,0.0002251,2459187.828181,0.006414,0.20287998809324076,0.30586317527099277,False
460140752,1947.01,8.9301,,,12.0077462,1.22e-05,2460066.821944,0.000949,0.024455454618763254,0.028914330606838463,False
464296022,1030.01,9.5706,,,12.1246519,1.03e-05,2460054.783937,0.000628,0.016811304032650694,0.02118924777128414,False
387834907,1405.01,8.4239,,,12.64001,0.00298,2458739.88011,0.00199,2.067217872088572,4.133608093413018,True
303432813,5076.01,9.9909,4794.37,0.850313,23.4428912,0.0001199,2460250.881084,0.003289,0.09077994311956866,0.11946261341176365,False
23961340,7062.01,8.863,4942.0,0.765975,10.5137924,0.0012504,2460528.435521,0.001503,1.043159799315398,2.0853838735539716,False
156199502,2105.01,9.8565,4718.0,0.821067,15.9152686,5.44e-05,2459422.272665,0.003864,0.09745640876570555,0.11041335675557176,False
64071894,458.01,9.6438,5033.0,0.829519,17.5288347,5.25e-05,2458414.165631,0.001459,0.04376564446917704,0.06311391110689962,False
91287873,5554.01,9.83733,3997.0,0.626722,26.694279,0.0029534,2459515.17161,0.002107,0.9711695800461309,1.9403633796162802,False
142387023,1824.01,8.9754,5182.0,0.824468,22.8085719,6.06e-05,2460362.103539,0.00271,0.06908431049860372,0.0799997689263535,False
243187830,2009.01,7.3551,4755.33,0.701499,1071.0898448,0.0003717,2458783.768755,0.003984,0.09566437999571327,0.09580937340290308,False
456260074,6249.02,9.0449,4813.0,0.751037,1092.002299,0.0025959,2458853.470005,0.001836,0.048742979124213506,0.060651494355984784,False
407126408,913.01,9.6181,4969.0,0.732535,11.099348,1.56e-05,2458625.210727,0.001054,0.02813685342105475,0.035313839125075054,False
87216634,5789.01,6.5715,5132.0,0.880535,12.9256051,0.0023249,2459776.255982,0.0018,1.5773127304698964,3.1537379534149,False
304142124,1793.01,7.8436,5167.22,0.867451,55.087,0.02,2460017.429225,0.000887,3.1826732613207085,6.3652397296937036,True
150151262,712.02,9.9059,4504.0,0.720461,9.531366,1.21e-05,2460139.317299,0.001193,0.030718595652415366,0.03626505485210753,False
101011575,560.02,8.5925,4695.0,0.630294,6.3980642,6.5e-06,2459982.845399,0.000978,0.025104692935759433,0.029464861744034686,False
249945230,1563.01,9.4397,4582.0,0.743945,1098.2258586,1.2e-06,2458805.455547,1e-05,0.0002401910592306191,0.00024076332722677493,False
394672497,3485.01,9.6181,4554.0,0.774212,11.8413467,6.07e-05,2459382.714016,0.002524,0.07542311396123869,0.10838002191566481,False
441462736,197.01,7.3566,5083.0,2.90324,14.278122,0.0033388,2458357.014054,0.002205,2.0505268594836954,4.100029271438957,True
142381532,1823.01,9.7722,4760.0,0.822372,38.8135498,3.51e-05,2460345.348566,0.000736,0.019361274738660544,0.023735735716922262,False
192790476,2459.01,9.3951,4195.0,0.675093,19.1047019,4.17e-05,2458452.334564,0.001143,0.03344563089331883,0.047083936022899495,False
202428245,5396.01,9.3373,5019.0,3.36984,32.1400505,0.0001447,2460321.827733,0.005781,0.14424792915932136,0.15962508467972814,False
408636441,1759.01,9.92838,3960.0,0.627046,18.8500438,2.47e-05,2460404.266149,0.001197,0.03093924137751307,0.03678386434381341,False
424388628,6075.01,9.4287,4193.0,0.725064,832.9236254,0.0024343,2458794.771156,0.007107,0.1724813050833069,0.17809793525182466,False
356747847,1958.01,9.9055,4957.0,5.42249,14.6483913,5.01e-05,2459336.491983,0.003504,0.08928051632858236,0.10328422307203092,False
326386495,4424.01,9.8496,4926.19,0.685403,17.7424733,0.0002131,2459383.797001,0.004729,0.1548111443416172,0.23921106914489576,False
279741379,186.01,6.9934,4628.53,0.705464,35.6134391,3.24e-05,2460202.210988,0.000845,0.021791731753560285,0.025800835088742965,False
381976956,866.01,9.0099,5091.0,6.51851,22.338916,0.000684,2458330.873539,0.002735,0.2763176970331081,0.5408142472002029,False
34077285,880.03,9.2563,4935.0,0.816999,6.3872524,8.2e-06,2459224.830978,0.000519,0.016786933752573802,0.02572447805599185,False
102840239,815.01,9.36,4953.89,0.759387,11.1972769,2.56e-05,2460026.624284,0.00164,0.04416864368492153,0.05617693067320635,False
298647682,1643.01,8.6628,4763.0,0.777584,20.0795217,1.47e-05,2459815.953155,0.000857,0.02154592413490558,0.02424416456198125,False
459978312,1487.01,5.28906,5047.0,8.94912,23.28798,0.00355,2458684.88739,0.01246,1.3693332431360556,2.689241409436875,False
74534430,687.01,9.8445,4243.0,0.617519,36.2995129,0.0001869,2459977.554802,0.006416,0.16046248118254067,0.1784926180575232,False
